4738,3985,8724
3504,4335,7840
2619,2434,5054
2469,2048,4518
2258,2050,4309
1897,3932,5830
3729,4692,8423
4341,5271,9612
4403,8322,12726
2904,4116,7021
3838,5935,9775
2374,2313,4687
3788,5871,9660
4487,5087,9576
2870,5642,8514
3010,3959,6970
3313,4254,7568
2808,3154,5963
2156,2914,5071
3335,3758,7094
2960,3558,6519
3162,4287,7450
2647,4220,6868
1297,2245,3543
1556,2403,3960
2250,3512,5763
2689,4288,6978
2309,3597,5907
2501,4202,6705
1026,2686,3714
1487,3175,4663
1395,2728,4124
1389,1860,3253
1105,622,1728
1829,2670,4500
1612,1739,3351
1172,2607,3780
582,573,1156
803,1044,1849
1061,1254,2316
727,686,1413
986,855,1842
1078,956,2035
1334,1764,3098
1331,2094,3425
2208,1174,3382
1130,329,1459
1525,1224,2749
2564,3411,5976
2605,3805,6410
1364,2121,3487
1551,1340,2893
1954,2042,3997
3188,4223,7413
1886,3777,5664
2616,3499,6117
2136,2305,4442
2259,4001,6261
914,920,1835
1818,1457,3276
1770,2076,3847
2049,3487,5537
1671,3029,4701
2983,3722,6706
1544,2579,4124
1910,3161,5072
1741,3661,5403
899,1222,2122
1373,1522,2896
1614,2519,4133
1480,1791,3273
1475,1557,3032
1613,1916,3529
1342,2034,3378
2298,1778,4077
1792,1505,3298
1750,1852,3606
1322,1275,2598
2009,1155,3165
2380,1871,4252
1146,1519,2666
1328,1250,2579
1975,2751,4727
1933,1455,3389
2800,3282,6084
2716,1560,4278
1687,1238,2926
1880,2425,4306
2863,2911,5775
2529,1893,4423
1844,1609,3454
2283,2112,4396
3688,3317,7006
2253,2721,4974
1237,1740,2978
2408,1969,4379
2205,2309,4515
1979,1121,3101
1404,1981,3387
1628,1423,3051
